text,whicon_vote,blalib_vote
"""@iamkrause: No need to thank me, killing niggers is it's own reward.""  Dis my pal from our graduation when we was 26",1.0,1.0
"""@iamkrause: No need to thank me, killing niggers is it's own reward.""  Dis my pal from our graduation when we was 26",1.0,1.0
"""@iamkrause: No need to thank me, killing niggers is it's own reward.""  Dis my pal from our graduation when we was 26",1.0,1.0
"""@iamkrause: No need to thank me, killing niggers is it's own reward.""  Dis my pal from our graduation when we was 26",1.0,1.0
"""@iamkrause: No need to thank me, killing niggers is it's own reward.""  Dis my pal from our graduation when we was 26",1.0,1.0
"""@iamkrause: No need to thank me, killing niggers is it's own reward.""  Dis my pal from our graduation when we was 26",1.0,1.0
"""@iamkrause: No need to thank me, killing niggers is it's own reward.""  Dis my pal from our graduation when we was 26",1.0,1.0
"""@iamkrause: No need to thank me, killing niggers is it's own reward.""  Dis my pal from our graduation when we was 26",1.0,1.0
"""@iamkrause: No need to thank me, killing niggers is it's own reward.""  Dis my pal from our graduation when we was 26",1.0,1.0
"""@iamkrause: No need to thank me, killing niggers is it's own reward.""  Dis my pal from our graduation when we was 26",1.0,1.0
"""@iamkrause: No need to thank me, killing niggers is it's own reward.""  Dis my pal from our graduation when we was 26",1.0,1.0
"""@iamkrause: No need to thank me, killing niggers is it's own reward.""  Dis my pal from our graduation when we was 26",1.0,1.0
"""@iamkrause: No need to thank me, killing niggers is it's own reward.""  Dis my pal from our graduation when we was 26",1.0,1.0
"""@iamkrause: No need to thank me, killing niggers is it's own reward.""  Dis my pal from our graduation when we was 26",1.0,1.0
"""@iamkrause: No need to thank me, killing niggers is it's own reward.""  Dis my pal from our graduation when we was 26",1.0,1.0
"""@iamkrause: No need to thank me, killing niggers is it's own reward.""  Dis my pal from our graduation when we was 26",1.0,1.0
"""@iamkrause: No need to thank me, killing niggers is it's own reward.""  Dis my pal from our graduation when we was 26",1.0,1.0
"""@iamkrause: No need to thank me, killing niggers is it's own reward.""  Dis my pal from our graduation when we was 26",1.0,1.0
"""@iamkrause: No need to thank me, killing niggers is it's own reward.""  Dis my pal from our graduation when we was 26",1.0,1.0
"""@iamkrause: No need to thank me, killing niggers is it's own reward.""  Dis my pal from our graduation when we was 26",,1.0
"""@iamkrause: No need to thank me, killing niggers is it's own reward.""  Dis my pal from our graduation when we was 26",1.0,1.0
"""@iamkrause: No need to thank me, killing niggers is it's own reward.""  Dis my pal from our graduation when we was 26",,1.0
"""@iamkrause: No need to thank me, killing niggers is it's own reward.""  Dis my pal from our graduation when we was 26",,1.0
"""@iamkrause: No need to thank me, killing niggers is it's own reward.""  Dis my pal from our graduation when we was 26",1.0,1.0
"""@iamkrause: No need to thank me, killing niggers is it's own reward.""  Dis my pal from our graduation when we was 26",1.0,1.0
"""@iamkrause: No need to thank me, killing niggers is it's own reward.""  Dis my pal from our graduation when we was 26",1.0,1.0
"""@iamkrause: No need to thank me, killing niggers is it's own reward.""  Dis my pal from our graduation when we was 26",1.0,1.0
#whitepower...I'll hang you nigger,1.0,1.0
#whitepower...I'll hang you nigger,1.0,1.0
#whitepower...I'll hang you nigger,1.0,1.0
#whitepower...I'll hang you nigger,1.0,1.0
#whitepower...I'll hang you nigger,1.0,1.0
#whitepower...I'll hang you nigger,1.0,1.0
#whitepower...I'll hang you nigger,1.0,1.0
#whitepower...I'll hang you nigger,1.0,1.0
#whitepower...I'll hang you nigger,1.0,1.0
#whitepower...I'll hang you nigger,1.0,1.0
#whitepower...I'll hang you nigger,1.0,1.0
#whitepower...I'll hang you nigger,1.0,1.0
#whitepower...I'll hang you nigger,1.0,1.0
#whitepower...I'll hang you nigger,1.0,1.0
#whitepower...I'll hang you nigger,1.0,1.0
#whitepower...I'll hang you nigger,1.0,1.0
#whitepower...I'll hang you nigger,1.0,1.0
#whitepower...I'll hang you nigger,1.0,1.0
#whitepower...I'll hang you nigger,1.0,1.0
#whitepower...I'll hang you nigger,1.0,1.0
#whitepower...I'll hang you nigger,1.0,1.0
#whitepower...I'll hang you nigger,1.0,1.0
#whitepower...I'll hang you nigger,1.0,1.0
#whitepower...I'll hang you nigger,1.0,1.0
#whitepower...I'll hang you nigger,1.0,1.0
#whitepower...I'll hang you nigger,1.0,1.0
#whitepower...I'll hang you nigger,1.0,1.0
#whitepower...I'll hang you nigger,1.0,1.0
#whitepower...I'll hang you nigger,1.0,1.0
#whitepower...I'll hang you nigger,1.0,1.0
#whitepower...I'll hang you nigger,1.0,1.0
#whitepower...I'll hang you nigger,1.0,1.0
#whitepower...I'll hang you nigger,1.0,1.0
#whitepower...I'll hang you nigger,1.0,1.0
#whitepower...I'll hang you nigger,1.0,1.0
#whitepower...I'll hang you nigger,1.0,1.0
#whitepower...I'll hang you nigger,1.0,1.0
#whitepower...I'll hang you nigger,1.0,1.0
#whitepower...I'll hang you nigger,1.0,1.0
#whitepower...I'll hang you nigger,1.0,1.0
#whitepower...I'll hang you nigger,1.0,1.0
#whitepower...I'll hang you nigger,1.0,1.0
#whitepower...I'll hang you nigger,1.0,1.0
#whitepower...I'll hang you nigger,1.0,1.0
#whitepower...I'll hang you nigger,1.0,1.0
#whitepower...I'll hang you nigger,1.0,1.0
#whitepower...I'll hang you nigger,1.0,1.0
#whitepower...I'll hang you nigger,1.0,1.0
#whitepower...I'll hang you nigger,1.0,1.0
#whitepower...I'll hang you nigger,1.0,1.0
31 Black Women Who Died In Police Custody URL,1.0,1.0
31 Black Women Who Died In Police Custody URL,1.0,1.0
31 Black Women Who Died In Police Custody URL,1.0,1.0
31 Black Women Who Died In Police Custody URL,1.0,1.0
31 Black Women Who Died In Police Custody URL,1.0,1.0
31 Black Women Who Died In Police Custody URL,1.0,1.0
31 Black Women Who Died In Police Custody URL,1.0,1.0
31 Black Women Who Died In Police Custody URL,1.0,1.0
31 Black Women Who Died In Police Custody URL,1.0,1.0
31 Black Women Who Died In Police Custody URL,1.0,1.0
31 Black Women Who Died In Police Custody URL,1.0,1.0
31 Black Women Who Died In Police Custody URL,1.0,1.0
31 Black Women Who Died In Police Custody URL,1.0,1.0
31 Black Women Who Died In Police Custody URL,1.0,1.0
31 Black Women Who Died In Police Custody URL,1.0,1.0
31 Black Women Who Died In Police Custody URL,1.0,1.0
31 Black Women Who Died In Police Custody URL,1.0,1.0
31 Black Women Who Died In Police Custody URL,1.0,1.0
31 Black Women Who Died In Police Custody URL,1.0,1.0
31 Black Women Who Died In Police Custody URL,1.0,1.0
31 Black Women Who Died In Police Custody URL,1.0,1.0
31 Black Women Who Died In Police Custody URL,1.0,1.0
31 Black Women Who Died In Police Custody URL,1.0,1.0
31 Black Women Who Died In Police Custody URL,1.0,1.0
31 Black Women Who Died In Police Custody URL,1.0,1.0
31 Black Women Who Died In Police Custody URL,1.0,1.0
31 Black Women Who Died In Police Custody URL,1.0,1.0
31 Black Women Who Died In Police Custody URL,1.0,1.0
31 Black Women Who Died In Police Custody URL,1.0,1.0
31 Black Women Who Died In Police Custody URL,1.0,1.0
31 Black Women Who Died In Police Custody URL,1.0,1.0
31 Black Women Who Died In Police Custody URL,1.0,1.0
31 Black Women Who Died In Police Custody URL,1.0,1.0
31 Black Women Who Died In Police Custody URL,1.0,1.0
31 Black Women Who Died In Police Custody URL,1.0,1.0
31 Black Women Who Died In Police Custody URL,1.0,1.0
31 Black Women Who Died In Police Custody URL,1.0,1.0
31 Black Women Who Died In Police Custody URL,1.0,1.0
31 Black Women Who Died In Police Custody URL,1.0,1.0
31 Black Women Who Died In Police Custody URL,1.0,1.0
31 Black Women Who Died In Police Custody URL,1.0,1.0
31 Black Women Who Died In Police Custody URL,1.0,1.0
31 Black Women Who Died In Police Custody URL,1.0,1.0
31 Black Women Who Died In Police Custody URL,1.0,1.0
31 Black Women Who Died In Police Custody URL,1.0,1.0
31 Black Women Who Died In Police Custody URL,1.0,1.0
31 Black Women Who Died In Police Custody URL,1.0,1.0
31 Black Women Who Died In Police Custody URL,1.0,1.0
31 Black Women Who Died In Police Custody URL,1.0,1.0
31 Black Women Who Died In Police Custody URL,1.0,1.0
@L1LTR4P fucking losers wetbacks #SorryNotSorry,1.0,1.0
@L1LTR4P fucking losers wetbacks #SorryNotSorry,1.0,1.0
@L1LTR4P fucking losers wetbacks #SorryNotSorry,1.0,1.0
@L1LTR4P fucking losers wetbacks #SorryNotSorry,1.0,1.0
@L1LTR4P fucking losers wetbacks #SorryNotSorry,1.0,1.0
@L1LTR4P fucking losers wetbacks #SorryNotSorry,1.0,1.0
@L1LTR4P fucking losers wetbacks #SorryNotSorry,1.0,1.0
@L1LTR4P fucking losers wetbacks #SorryNotSorry,1.0,1.0
@L1LTR4P fucking losers wetbacks #SorryNotSorry,1.0,1.0
@L1LTR4P fucking losers wetbacks #SorryNotSorry,1.0,1.0
@L1LTR4P fucking losers wetbacks #SorryNotSorry,1.0,1.0
@L1LTR4P fucking losers wetbacks #SorryNotSorry,1.0,1.0
@L1LTR4P fucking losers wetbacks #SorryNotSorry,1.0,1.0
@L1LTR4P fucking losers wetbacks #SorryNotSorry,1.0,1.0
@L1LTR4P fucking losers wetbacks #SorryNotSorry,1.0,1.0
@L1LTR4P fucking losers wetbacks #SorryNotSorry,1.0,1.0
@L1LTR4P fucking losers wetbacks #SorryNotSorry,1.0,1.0
@L1LTR4P fucking losers wetbacks #SorryNotSorry,1.0,1.0
@L1LTR4P fucking losers wetbacks #SorryNotSorry,1.0,1.0
@L1LTR4P fucking losers wetbacks #SorryNotSorry,1.0,1.0
@L1LTR4P fucking losers wetbacks #SorryNotSorry,1.0,1.0
@L1LTR4P fucking losers wetbacks #SorryNotSorry,1.0,1.0
@L1LTR4P fucking losers wetbacks #SorryNotSorry,1.0,1.0
@L1LTR4P fucking losers wetbacks #SorryNotSorry,1.0,1.0
@L1LTR4P fucking losers wetbacks #SorryNotSorry,1.0,1.0
@L1LTR4P fucking losers wetbacks #SorryNotSorry,1.0,1.0
@L1LTR4P fucking losers wetbacks #SorryNotSorry,1.0,1.0
@L1LTR4P fucking losers wetbacks #SorryNotSorry,1.0,1.0
@L1LTR4P fucking losers wetbacks #SorryNotSorry,1.0,1.0
@L1LTR4P fucking losers wetbacks #SorryNotSorry,1.0,1.0
@L1LTR4P fucking losers wetbacks #SorryNotSorry,1.0,1.0
@L1LTR4P fucking losers wetbacks #SorryNotSorry,1.0,1.0
@L1LTR4P fucking losers wetbacks #SorryNotSorry,1.0,1.0
@L1LTR4P fucking losers wetbacks #SorryNotSorry,1.0,1.0
@L1LTR4P fucking losers wetbacks #SorryNotSorry,1.0,1.0
@L1LTR4P fucking losers wetbacks #SorryNotSorry,1.0,1.0
@L1LTR4P fucking losers wetbacks #SorryNotSorry,1.0,1.0
@L1LTR4P fucking losers wetbacks #SorryNotSorry,1.0,1.0
@L1LTR4P fucking losers wetbacks #SorryNotSorry,1.0,1.0
@L1LTR4P fucking losers wetbacks #SorryNotSorry,1.0,1.0
@L1LTR4P fucking losers wetbacks #SorryNotSorry,1.0,1.0
@L1LTR4P fucking losers wetbacks #SorryNotSorry,1.0,1.0
@L1LTR4P fucking losers wetbacks #SorryNotSorry,1.0,1.0
@L1LTR4P fucking losers wetbacks #SorryNotSorry,1.0,1.0
@L1LTR4P fucking losers wetbacks #SorryNotSorry,1.0,1.0
@L1LTR4P fucking losers wetbacks #SorryNotSorry,1.0,1.0
@L1LTR4P fucking losers wetbacks #SorryNotSorry,1.0,1.0
@L1LTR4P fucking losers wetbacks #SorryNotSorry,1.0,1.0
@L1LTR4P fucking losers wetbacks #SorryNotSorry,1.0,1.0
@L1LTR4P fucking losers wetbacks #SorryNotSorry,1.0,1.0
@Legionary1488 @JomavaesJos now we have a Ebloa case in Texas. If we kill all the niggers we might be safe.,1.0,1.0
@Legionary1488 @JomavaesJos now we have a Ebloa case in Texas. If we kill all the niggers we might be safe.,1.0,1.0
@Legionary1488 @JomavaesJos now we have a Ebloa case in Texas. If we kill all the niggers we might be safe.,1.0,1.0
@Legionary1488 @JomavaesJos now we have a Ebloa case in Texas. If we kill all the niggers we might be safe.,1.0,1.0
@Legionary1488 @JomavaesJos now we have a Ebloa case in Texas. If we kill all the niggers we might be safe.,1.0,1.0
@Legionary1488 @JomavaesJos now we have a Ebloa case in Texas. If we kill all the niggers we might be safe.,1.0,1.0
@Legionary1488 @JomavaesJos now we have a Ebloa case in Texas. If we kill all the niggers we might be safe.,1.0,1.0
@Legionary1488 @JomavaesJos now we have a Ebloa case in Texas. If we kill all the niggers we might be safe.,1.0,1.0
@Legionary1488 @JomavaesJos now we have a Ebloa case in Texas. If we kill all the niggers we might be safe.,1.0,1.0
@Legionary1488 @JomavaesJos now we have a Ebloa case in Texas. If we kill all the niggers we might be safe.,1.0,1.0
@Legionary1488 @JomavaesJos now we have a Ebloa case in Texas. If we kill all the niggers we might be safe.,1.0,1.0
@Legionary1488 @JomavaesJos now we have a Ebloa case in Texas. If we kill all the niggers we might be safe.,1.0,1.0
@Legionary1488 @JomavaesJos now we have a Ebloa case in Texas. If we kill all the niggers we might be safe.,1.0,1.0
@Legionary1488 @JomavaesJos now we have a Ebloa case in Texas. If we kill all the niggers we might be safe.,1.0,1.0
@Legionary1488 @JomavaesJos now we have a Ebloa case in Texas. If we kill all the niggers we might be safe.,1.0,1.0
@Legionary1488 @JomavaesJos now we have a Ebloa case in Texas. If we kill all the niggers we might be safe.,1.0,1.0
@Legionary1488 @JomavaesJos now we have a Ebloa case in Texas. If we kill all the niggers we might be safe.,1.0,1.0
@Legionary1488 @JomavaesJos now we have a Ebloa case in Texas. If we kill all the niggers we might be safe.,1.0,1.0
@Legionary1488 @JomavaesJos now we have a Ebloa case in Texas. If we kill all the niggers we might be safe.,1.0,1.0
@Legionary1488 @JomavaesJos now we have a Ebloa case in Texas. If we kill all the niggers we might be safe.,1.0,1.0
@Legionary1488 @JomavaesJos now we have a Ebloa case in Texas. If we kill all the niggers we might be safe.,1.0,1.0
@Legionary1488 @JomavaesJos now we have a Ebloa case in Texas. If we kill all the niggers we might be safe.,1.0,1.0
@Legionary1488 @JomavaesJos now we have a Ebloa case in Texas. If we kill all the niggers we might be safe.,1.0,1.0
@Legionary1488 @JomavaesJos now we have a Ebloa case in Texas. If we kill all the niggers we might be safe.,1.0,1.0
@Legionary1488 @JomavaesJos now we have a Ebloa case in Texas. If we kill all the niggers we might be safe.,1.0,1.0
@Legionary1488 @JomavaesJos now we have a Ebloa case in Texas. If we kill all the niggers we might be safe.,1.0,1.0
@Legionary1488 @JomavaesJos now we have a Ebloa case in Texas. If we kill all the niggers we might be safe.,1.0,1.0
@Legionary1488 @JomavaesJos now we have a Ebloa case in Texas. If we kill all the niggers we might be safe.,1.0,1.0
@Legionary1488 @JomavaesJos now we have a Ebloa case in Texas. If we kill all the niggers we might be safe.,1.0,1.0
@Legionary1488 @JomavaesJos now we have a Ebloa case in Texas. If we kill all the niggers we might be safe.,1.0,1.0
@Legionary1488 @JomavaesJos now we have a Ebloa case in Texas. If we kill all the niggers we might be safe.,1.0,1.0
@Legionary1488 @JomavaesJos now we have a Ebloa case in Texas. If we kill all the niggers we might be safe.,1.0,1.0
@Legionary1488 @JomavaesJos now we have a Ebloa case in Texas. If we kill all the niggers we might be safe.,1.0,1.0
@Legionary1488 @JomavaesJos now we have a Ebloa case in Texas. If we kill all the niggers we might be safe.,1.0,1.0
@Legionary1488 @JomavaesJos now we have a Ebloa case in Texas. If we kill all the niggers we might be safe.,1.0,1.0
@Legionary1488 @JomavaesJos now we have a Ebloa case in Texas. If we kill all the niggers we might be safe.,1.0,1.0
@Legionary1488 @JomavaesJos now we have a Ebloa case in Texas. If we kill all the niggers we might be safe.,1.0,1.0
@Legionary1488 @JomavaesJos now we have a Ebloa case in Texas. If we kill all the niggers we might be safe.,1.0,1.0
@Legionary1488 @JomavaesJos now we have a Ebloa case in Texas. If we kill all the niggers we might be safe.,1.0,1.0
@Legionary1488 @JomavaesJos now we have a Ebloa case in Texas. If we kill all the niggers we might be safe.,1.0,1.0
@Legionary1488 @JomavaesJos now we have a Ebloa case in Texas. If we kill all the niggers we might be safe.,1.0,1.0
@Legionary1488 @JomavaesJos now we have a Ebloa case in Texas. If we kill all the niggers we might be safe.,1.0,1.0
@Legionary1488 @JomavaesJos now we have a Ebloa case in Texas. If we kill all the niggers we might be safe.,1.0,1.0
@Legionary1488 @JomavaesJos now we have a Ebloa case in Texas. If we kill all the niggers we might be safe.,1.0,1.0
@Legionary1488 @JomavaesJos now we have a Ebloa case in Texas. If we kill all the niggers we might be safe.,1.0,1.0
@Legionary1488 @JomavaesJos now we have a Ebloa case in Texas. If we kill all the niggers we might be safe.,1.0,1.0
@Legionary1488 @JomavaesJos now we have a Ebloa case in Texas. If we kill all the niggers we might be safe.,1.0,1.0
@Legionary1488 @JomavaesJos now we have a Ebloa case in Texas. If we kill all the niggers we might be safe.,1.0,1.0
@Legionary1488 @JomavaesJos now we have a Ebloa case in Texas. If we kill all the niggers we might be safe.,1.0,1.0
@Legionary1488 @JomavaesJos now we have a Ebloa case in Texas. If we kill all the niggers we might be safe.,1.0,1.0
Every gook in #LosAngeles should be deported or killed.,1.0,1.0
Every gook in #LosAngeles should be deported or killed.,1.0,1.0
Every gook in #LosAngeles should be deported or killed.,1.0,1.0
Every gook in #LosAngeles should be deported or killed.,1.0,1.0
Every gook in #LosAngeles should be deported or killed.,1.0,1.0
Every gook in #LosAngeles should be deported or killed.,1.0,1.0
Every gook in #LosAngeles should be deported or killed.,1.0,1.0
Every gook in #LosAngeles should be deported or killed.,1.0,1.0
Every gook in #LosAngeles should be deported or killed.,1.0,1.0
Every gook in #LosAngeles should be deported or killed.,1.0,1.0
Every gook in #LosAngeles should be deported or killed.,1.0,1.0
Every gook in #LosAngeles should be deported or killed.,1.0,1.0
Every gook in #LosAngeles should be deported or killed.,1.0,1.0
Every gook in #LosAngeles should be deported or killed.,1.0,1.0
Every gook in #LosAngeles should be deported or killed.,1.0,1.0
Every gook in #LosAngeles should be deported or killed.,1.0,1.0
Every gook in #LosAngeles should be deported or killed.,1.0,1.0
Every gook in #LosAngeles should be deported or killed.,1.0,1.0
Every gook in #LosAngeles should be deported or killed.,1.0,1.0
Every gook in #LosAngeles should be deported or killed.,1.0,1.0
Every gook in #LosAngeles should be deported or killed.,1.0,1.0
Every gook in #LosAngeles should be deported or killed.,1.0,1.0
Every gook in #LosAngeles should be deported or killed.,1.0,1.0
Every gook in #LosAngeles should be deported or killed.,1.0,1.0
Every gook in #LosAngeles should be deported or killed.,1.0,1.0
Every gook in #LosAngeles should be deported or killed.,1.0,1.0
Every gook in #LosAngeles should be deported or killed.,1.0,1.0
Every gook in #LosAngeles should be deported or killed.,1.0,1.0
Every gook in #LosAngeles should be deported or killed.,1.0,1.0
Every gook in #LosAngeles should be deported or killed.,1.0,1.0
Every gook in #LosAngeles should be deported or killed.,1.0,1.0
Every gook in #LosAngeles should be deported or killed.,1.0,1.0
Every gook in #LosAngeles should be deported or killed.,1.0,1.0
Every gook in #LosAngeles should be deported or killed.,1.0,1.0
Every gook in #LosAngeles should be deported or killed.,1.0,1.0
Every gook in #LosAngeles should be deported or killed.,1.0,1.0
Every gook in #LosAngeles should be deported or killed.,1.0,1.0
Every gook in #LosAngeles should be deported or killed.,1.0,1.0
Every gook in #LosAngeles should be deported or killed.,1.0,1.0
Every gook in #LosAngeles should be deported or killed.,1.0,1.0
Every gook in #LosAngeles should be deported or killed.,1.0,1.0
Every gook in #LosAngeles should be deported or killed.,1.0,1.0
Every gook in #LosAngeles should be deported or killed.,1.0,1.0
Every gook in #LosAngeles should be deported or killed.,1.0,1.0
Every gook in #LosAngeles should be deported or killed.,1.0,1.0
Every gook in #LosAngeles should be deported or killed.,1.0,1.0
Every gook in #LosAngeles should be deported or killed.,1.0,1.0
Every gook in #LosAngeles should be deported or killed.,1.0,1.0
Every gook in #LosAngeles should be deported or killed.,1.0,1.0
Every gook in #LosAngeles should be deported or killed.,1.0,1.0
Every slant in #LosAngeles should be deported. Those scum have no right to be here. Chinatown should be bulldozed.,1.0,1.0
Every slant in #LosAngeles should be deported. Those scum have no right to be here. Chinatown should be bulldozed.,1.0,1.0
Every slant in #LosAngeles should be deported. Those scum have no right to be here. Chinatown should be bulldozed.,1.0,1.0
Every slant in #LosAngeles should be deported. Those scum have no right to be here. Chinatown should be bulldozed.,1.0,1.0
Every slant in #LosAngeles should be deported. Those scum have no right to be here. Chinatown should be bulldozed.,1.0,1.0
Every slant in #LosAngeles should be deported. Those scum have no right to be here. Chinatown should be bulldozed.,1.0,1.0
Every slant in #LosAngeles should be deported. Those scum have no right to be here. Chinatown should be bulldozed.,1.0,1.0
Every slant in #LosAngeles should be deported. Those scum have no right to be here. Chinatown should be bulldozed.,1.0,1.0
Every slant in #LosAngeles should be deported. Those scum have no right to be here. Chinatown should be bulldozed.,1.0,1.0
Every slant in #LosAngeles should be deported. Those scum have no right to be here. Chinatown should be bulldozed.,1.0,1.0
Every slant in #LosAngeles should be deported. Those scum have no right to be here. Chinatown should be bulldozed.,1.0,1.0
Every slant in #LosAngeles should be deported. Those scum have no right to be here. Chinatown should be bulldozed.,1.0,1.0
Every slant in #LosAngeles should be deported. Those scum have no right to be here. Chinatown should be bulldozed.,1.0,1.0
Every slant in #LosAngeles should be deported. Those scum have no right to be here. Chinatown should be bulldozed.,1.0,1.0
Every slant in #LosAngeles should be deported. Those scum have no right to be here. Chinatown should be bulldozed.,1.0,1.0
Every slant in #LosAngeles should be deported. Those scum have no right to be here. Chinatown should be bulldozed.,1.0,1.0
Every slant in #LosAngeles should be deported. Those scum have no right to be here. Chinatown should be bulldozed.,1.0,1.0
Every slant in #LosAngeles should be deported. Those scum have no right to be here. Chinatown should be bulldozed.,1.0,1.0
Every slant in #LosAngeles should be deported. Those scum have no right to be here. Chinatown should be bulldozed.,1.0,1.0
Every slant in #LosAngeles should be deported. Those scum have no right to be here. Chinatown should be bulldozed.,1.0,1.0
Every slant in #LosAngeles should be deported. Those scum have no right to be here. Chinatown should be bulldozed.,1.0,1.0
Every slant in #LosAngeles should be deported. Those scum have no right to be here. Chinatown should be bulldozed.,1.0,1.0
Every slant in #LosAngeles should be deported. Those scum have no right to be here. Chinatown should be bulldozed.,1.0,1.0
Every slant in #LosAngeles should be deported. Those scum have no right to be here. Chinatown should be bulldozed.,1.0,1.0
Every slant in #LosAngeles should be deported. Those scum have no right to be here. Chinatown should be bulldozed.,1.0,1.0
Every slant in #LosAngeles should be deported. Those scum have no right to be here. Chinatown should be bulldozed.,1.0,1.0
Every slant in #LosAngeles should be deported. Those scum have no right to be here. Chinatown should be bulldozed.,1.0,1.0
Every slant in #LosAngeles should be deported. Those scum have no right to be here. Chinatown should be bulldozed.,1.0,1.0
Every slant in #LosAngeles should be deported. Those scum have no right to be here. Chinatown should be bulldozed.,1.0,1.0
Every slant in #LosAngeles should be deported. Those scum have no right to be here. Chinatown should be bulldozed.,1.0,1.0
Every slant in #LosAngeles should be deported. Those scum have no right to be here. Chinatown should be bulldozed.,1.0,1.0
Every slant in #LosAngeles should be deported. Those scum have no right to be here. Chinatown should be bulldozed.,1.0,1.0
Every slant in #LosAngeles should be deported. Those scum have no right to be here. Chinatown should be bulldozed.,1.0,1.0
Every slant in #LosAngeles should be deported. Those scum have no right to be here. Chinatown should be bulldozed.,1.0,1.0
Every slant in #LosAngeles should be deported. Those scum have no right to be here. Chinatown should be bulldozed.,1.0,1.0
Every slant in #LosAngeles should be deported. Those scum have no right to be here. Chinatown should be bulldozed.,1.0,1.0
Every slant in #LosAngeles should be deported. Those scum have no right to be here. Chinatown should be bulldozed.,1.0,1.0
Every slant in #LosAngeles should be deported. Those scum have no right to be here. Chinatown should be bulldozed.,1.0,1.0
Every slant in #LosAngeles should be deported. Those scum have no right to be here. Chinatown should be bulldozed.,1.0,1.0
Every slant in #LosAngeles should be deported. Those scum have no right to be here. Chinatown should be bulldozed.,1.0,1.0
Every slant in #LosAngeles should be deported. Those scum have no right to be here. Chinatown should be bulldozed.,1.0,1.0
Every slant in #LosAngeles should be deported. Those scum have no right to be here. Chinatown should be bulldozed.,1.0,1.0
Every slant in #LosAngeles should be deported. Those scum have no right to be here. Chinatown should be bulldozed.,1.0,1.0
Every slant in #LosAngeles should be deported. Those scum have no right to be here. Chinatown should be bulldozed.,1.0,1.0
Every slant in #LosAngeles should be deported. Those scum have no right to be here. Chinatown should be bulldozed.,1.0,1.0
Every slant in #LosAngeles should be deported. Those scum have no right to be here. Chinatown should be bulldozed.,1.0,1.0
Every slant in #LosAngeles should be deported. Those scum have no right to be here. Chinatown should be bulldozed.,1.0,1.0
Every slant in #LosAngeles should be deported. Those scum have no right to be here. Chinatown should be bulldozed.,1.0,1.0
Every slant in #LosAngeles should be deported. Those scum have no right to be here. Chinatown should be bulldozed.,1.0,1.0
Every slant in #LosAngeles should be deported. Those scum have no right to be here. Chinatown should be bulldozed.,1.0,1.0
Fuck you fuck you you stupid cheating bitch go lick a dick and die ur a stupid nigger bitch,1.0,1.0
Fuck you fuck you you stupid cheating bitch go lick a dick and die ur a stupid nigger bitch,1.0,1.0
Fuck you fuck you you stupid cheating bitch go lick a dick and die ur a stupid nigger bitch,1.0,1.0
